Time,Height,HeightError,MaxWidth,MaxWidthError,VelocityInst,VelocityInstError,VelocityAvg,VelocityAvgError,AccelerationInst,AccelerationInstError,AccelerationAvg,AccelerationAvgError,rowPixel,colPixel
110,1423.10692131128,146.625284086312,1018.51327999023,124.25531589978,9.97806071255809,292.952457399233,12.9373356482844,1.33295712805738,0.0100516113220692,0.595913157322002,0.117612142257131,0.0121177920732489,440,466
111,1443.09336799867,147.222435991488,1022.62258201151,124.666976351063,19.9864466873837,293.847720077799,13.0008411531411,1.32632825217556,10.0083859748256,0.895262678565814,0.117124695073344,0.0119489031727528,436,470
112,1453.10183954221,147.521479729292,1035.76448067869,125.344644211043,10.0084715435487,294.743915720779,12.9741235673412,1.31715606901153,-9.97797514383501,0.896195642979819,0.115840388994118,0.0117603220447458,434,471
113,1473.14949402295,148.12050932364,1039.4430335089,126.033535007615,20.0476544807325,295.641989052932,13.0367211860438,1.31080096746584,10.0391829371838,0.898073332152535,0.115369214035786,0.0116000085616446,430,473
114,1483.18876338995,148.420497812923,1041.87111919952,127.553946731824,10.0392693670001,296.541007136563,13.0104277490346,1.30193419134143,-10.0083851137324,0.899018083631745,0.114126559202058,0.0114204753626441,428,475
115,1493.23838536995,148.720803859613,1050.87575881846,127.819300045571,10.0496219799993,297.141301672536,12.9846816119126,1.29322438138794,0.0103526129992133,0.60029453597258,0.112910274886196,0.0112454294033734,426,478
116,1513.36886163291,149.322373940473,1050.87575881846,127.819300045571,20.130476262962,298.043177800086,13.0462832899389,1.28726184431443,10.0808542829627,0.901876127550167,0.112467959396025,0.0110970848647795,422,483
117,1528.49421963237,149.774394997173,1059.87479089585,128.08449469318,15.1253579994618,299.096768937647,13.064053159251,1.28012303416387,-5.00511826350021,1.05359113756049,0.111658574010693,0.0109412225142211,419,485
118,1543.64331490603,150.227144083134,1067.60467278601,129.180013483218,15.1490952736604,300.001539080307,13.0817230076782,1.27311139053504,0.0237372741985382,0.904770142660709,0.110862059387104,0.0107890795808054,416,487
119,1553.75597290815,150.529383516174,1075.74136454474,129.997627989081,10.1126580021155,300.756527599308,13.0567728815811,1.26495280265692,-5.03643727154486,0.75498851900079,0.109720780517488,0.010629855484512,414,489
120,1563.87929169801,150.831949897162,1080.22640407627,130.1298158845,10.1233187898606,301.361333413336,13.0323274308167,1.25693291580969,0.0106607877451097,0.604805814028168,0.108602728590139,0.0104744409650807,412,488.5
121,1584.15809030289,151.438068948512,1078.54691758237,131.234335947617,20.2787986048825,302.270018845674,13.0922156223379,1.25155428883068,10.1554798150219,0.908685432337961,0.108200129110231,0.0103434238746337,408,493
122,1604.48006958091,152.04551217592,1092.4001810335,131.354354505906,20.3219792780201,303.483581124432,13.1514759801714,1.24627468996656,0.0431806731376128,1.21356227875776,0.107798983444028,0.0102153663112013,404,498
123,1614.65736479291,152.349733795003,1101.50305016112,125.536825293041,10.1772952119968,304.395245970923,13.1272956487228,1.23861572191059,-10.1446840660233,0.911664846491021,0.106725980883925,0.0100700465195983,402,500
124,1629.94381721402,152.806695121776,1110.51050475049,125.802258265275,15.286452421115,305.156428916779,13.1447082033389,1.23231205743367,5.10915720911817,0.76118294585558,0.106005711317249,0.00993800046317479,399,501
125,1635.04479337128,152.959183965069,1137.49925299393,126.59760604896,5.10097615725408,305.765879086845,13.0803583469702,1.22367347172055,-10.1854762638609,0.609450170065884,0.104642866775762,0.00978938777376441,398,505
126,1655.476310675,153.569985996347,1155.46403647424,127.127053941679,20.4315173037248,306.529169961416,13.138700878373,1.21880941266942,15.3305411464708,0.763290874571794,0.104275403796611,0.00967309057674146,394,507
127,1665.70871739102,153.875897460485,1170.62878954564,129.319139164623,10.2324067160203,307.445883456833,13.1158166723702,1.21162123984634,-10.1991105877046,0.916713495416388,0.103274147026537,0.00954032472319953,392,509
128,1686.20705794208,154.488748330486,1181.43447625406,128.47476262538,20.4983405510616,308.364645790971,13.1734926401725,1.20694334633192,10.2659338350413,0.918762334138592,0.102917911251348,0.00942924489321814,388,513
129,1701.61033252806,154.949291511951,1196.52141165441,130.663000292415,15.4032745859827,309.438039842437,13.1907777715354,1.20115729854225,-5.0950659650789,1.07339405146558,0.102254091252212,0.00931129688792445,385,515
130,1706.7504112005,155.102979241225,1196.52141165441,130.663000292415,5.14007867243072,310.052270753175,13.1288493169269,1.19309984031711,-10.263195913552,0.61423091073857,0.100991148591745,0.0091776910793624,384,517
131,1727.33915132114,155.718601606099,1222.34025207609,132.004233451253,20.5887401206451,310.821580847324,13.185795048253,1.18869161531373,15.4486614482144,0.769310094148295,0.100654924032466,0.00907398179628804,380,521
